rank	score	type	token	current_count	history_count	replay_ruling
30	71	UID_OR_TX_CANDIDATE	0x90389a07bcab7a7a2ab095c5828a922eafea0429b5bcbc8a63ef49973b81aa5b	1	0	REPLAY_CANDIDATE_NOT_CHAIN_PROOF
31	71	UID_OR_TX_CANDIDATE	0x9260d01d6d66977868c3f3dc1b6bac55b1d90d01d865d58028f3f178a051b4d8	1	0	REPLAY_CANDIDATE_NOT_CHAIN_PROOF
32	71	UID_OR_TX_CANDIDATE	0x99f8e0b3045f0b2f05192da79e25a5564759735adfee8dd3a642ba1093a7c936	1	0	REPLAY_CANDIDATE_NOT_CHAIN_PROOF
33	71	UID_OR_TX_CANDIDATE	0xb3813568d9991fc951961fcb4c784893574240a28925604d09fc577c55bb7c32	1	0	REPLAY_CANDIDATE_NOT_CHAIN_PROOF
34	71	UID_OR_TX_CANDIDATE	0xcad549f24bec742fd1f6bd280e3202921fa2dd6a11f82eb36ff9ecd990303546	1	0	REPLAY_CANDIDATE_NOT_CHAIN_PROOF
35	71	UID_OR_TX_CANDIDATE	0xd50fd0be6356335fc999efe37cf2456e3097429ed72f7042f5c2230c68416657	1	0	REPLAY_CANDIDATE_NOT_CHAIN_PROOF
36	67	CID_CANDIDATE	bafybeicmw4dr7gbgrjuap65zrumvx6not24h5q6bwrd47zjxaeixzgbone	2	0	REPLAY_CANDIDATE_NOT_CHAIN_PROOF
37	67	CID_CANDIDATE	bafybeiguzlmem6q3oznmswea75ovugs2c3w7t7zejap3rifwuwr5zktn54	2	0	REPLAY_CANDIDATE_NOT_CHAIN_PROOF
38	66	CID_CANDIDATE	bafybeibadcid	1	0	REPLAY_CANDIDATE_NOT_CHAIN_PROOF
39	66	CID_CANDIDATE	bafybeidgjq27435f7k5k4j6u3q	1	0	REPLAY_CANDIDATE_NOT_CHAIN_PROOF
40	66	CID_CANDIDATE	QmTNhXFhZmFbVyUvEGtfPAeD472QCfaFR3Fh4GZCLiszst	1	0	REPLAY_CANDIDATE_NOT_CHAIN_PROOF
41	66	CID_CANDIDATE	QmYTYtdaCFdcQ6jYZEH7ftwyXCA7ssBXtSsKco52XxZ34D	1	0	REPLAY_CANDIDATE_NOT_CHAIN_PROOF
42	7	PLACEHOLDER_OR_TEST_VECTOR	0x0000000000000000000000000000000000000000	6	0	LOW_PRIORITY_IGNORE_FOR_PROOF
43	6	PLACEHOLDER_OR_TEST_VECTOR	0x0000000000000000000000000000000000000000000000000000000000000000	5	0	LOW_PRIORITY_IGNORE_FOR_PROOF
44	4	PLACEHOLDER_OR_TEST_VECTOR	0x1111111111111111111111111111111111111111111111111111111111111111	3	0	LOW_PRIORITY_IGNORE_FOR_PROOF
45	3	PLACEHOLDER_OR_TEST_VECTOR	0x3333333333333333333333333333333333333333333333333333333333333333	2	0	LOW_PRIORITY_IGNORE_FOR_PROOF
46	2	PLACEHOLDER_OR_TEST_VECTOR	0x2222222222222222222222222222222222222222222222222222222222222222	1	0	LOW_PRIORITY_IGNORE_FOR_PROOF
